"","SYMBOL","FC","DESeq2.STAT","PVAL","ADJ.PVAL"
"23126","POGZ",0.260842745253901,4.5134684949129,6.37759272020438e-06,0.0795540915918294
"28957","MRPS28",0.246190755477494,4.5134311140278,6.37871741177512e-06,0.0795681209944829
"8764","TNFRSF14",-0.352525939167521,-4.51269208770536,6.40099175303367e-06,0.0798459711273421
"6167","RPL37",-0.333343201280611,-4.5111304482288,6.44830478350415e-06,0.0804361538694308
"113235","SLC46A1",-0.392869621101836,-4.5110459222879,6.45087519012518e-06,0.0804682171216215
"81853","TMEM14B",0.273547944737875,4.51089226399989,6.45555040018211e-06,0.0805265356918717
"9520","NPEPPS",0.289403290161235,4.51072363487616,6.46068484407504e-06,0.0805905827449921
"9926","LPGAT1",0.320189225490299,4.51057381839559,6.46524975526397e-06,0.0806475254471627
"154043","CNKSR3",-0.524948597947442,-4.51048335146582,6.46800777860458e-06,0.0806819290303135
"4899","NRF1",-0.157483055404457,-4.50981760533375,6.48833872197452e-06,0.0809355372179101
"55718","POLR3E",0.248402614594216,4.50810590321824,6.5408927517556e-06,0.0815910961853993
"55805","LRP2BP",-0.447633284298302,-4.50618896659256,6.60023144344779e-06,0.0823312870255677
"112840","WDR89",0.210430136025351,4.50602799851008,6.60523757373444e-06,0.0823937334947634
"51296","SLC15A3",0.467201651524147,4.50455545733908,6.6512027360261e-06,0.0829671029291896
"83481","EPPK1",0.815998164239457,4.50121855838444,6.75649862367363e-06,0.0842805638317049
"340075","ARSI",0.501304827846617,4.49963173343461,6.80712856419975e-06,0.0849121217098277
"375341","C3orf62",-0.224318886265922,-4.49852336639368,6.84270767135857e-06,0.0853559354925267
"26166","RGS22",-0.86681964469896,-4.49838588470953,6.84713327920035e-06,0.0854111405247451
"969","CD69",-0.584451025710135,-4.49832763770033,6.8490091067098e-06,0.0854345395970981
"351","APP",-0.340976842537672,-4.49640772051211,6.91111532961096e-06,0.0862092526215672
"23230","VPS13A",-0.372796326981983,-4.4962128011196,6.91745069238597e-06,0.0862882799368225
"23469","PHF3",-0.255379093318267,-4.49591565601066,6.92711933399787e-06,0.0864088865722894
"10533","ATG7",0.158843437607288,4.49586038999833,6.92891902950054e-06,0.0864313359739897
"23597","ACOT9",-0.357391858135042,-4.49480836458731,6.96326283879977e-06,0.0868597406511883
"9045","RPL14",-0.327220446034372,-4.49336704928644,7.01057961022381e-06,0.0874499700579318
"117854","TRIM6",-0.50137864413183,-4.4923778368074,7.0432321442551e-06,0.0878572777674382
"23064","SETX",-0.227306229539591,-4.49115783526224,7.08370305138095e-06,0.088362111862926
"85320","ABCC11",1.07579476784796,4.49061856176828,7.10166307907714e-06,0.0885861452484083
"55152","DALRD3",0.351061715172449,4.49050583742883,7.10542276290955e-06,0.0886330435445337
