"","SYMBOL","FC","DESeq2.STAT","PVAL","ADJ.PVAL"
"221476","PI16",-9.20921810199743,-19.8125866968013,2.31860799943634e-87,2.82360082171357e-83
"146556","C16orf89",-6.20536516496588,-17.4067608882524,7.33164851338157e-68,8.92848155959608e-64
"1675","CFD",-5.06910699708768,-16.0867584499186,3.15952360840138e-58,3.8476678503112e-54
"7123","CLEC3B",-5.42927351926993,-15.4069365484594,1.47017956311416e-53,1.79038467196043e-49
"286133","SCARA5",-7.71490840666696,-15.1967139758227,3.7180978598323e-52,4.52789957370377e-48
"5348","FXYD1",-4.44267725550745,-14.9157922745441,2.60170715027733e-50,3.16835896760774e-46
"3164","NR4A1",-3.81145565184518,-14.7180867763213,4.93423508483299e-49,6.00891148630961e-45
"2159","F10",-4.18366821216058,-14.3602636915237,9.18769067954474e-47,1.11887697095496e-42
"5187","PER1",-2.62712330194445,-14.3251782501118,1.52336730639216e-46,1.85515670572437e-42
"5166","PDK4",-4.3947784816157,-13.6390321488838,2.34654165071402e-42,2.85761842223954e-38
"125","ADH1B",-7.89331048232082,-13.633179132126,2.54258096503524e-42,3.09635509921992e-38
"80760","ITIH5",-4.10578507100341,-13.0125662613616,1.0379683789258e-38,1.26403789185584e-34
"9796","PHYHIP",-3.97844024083,-12.9646941164411,1.94002751259877e-38,2.36256550484278e-34
"11170","FAM107A",-5.13645310144071,-12.9106559220649,3.9194803763268e-38,4.77314320229078e-34
"126393","HSPB6",-6.04489032477426,-12.864077376272,7.16928479785184e-38,8.73075502682397e-34
"23498","HAAO",-3.16446995434777,-12.8277200744361,1.14689694236513e-37,1.39669109641226e-33
"81575","APOLD1",-2.39974659924657,-12.7889651737057,1.88973380813649e-37,2.30131783154861e-33
"687","KLF9",-2.43173377495847,-12.7770436154805,2.20284749156793e-37,2.68262767523143e-33
"8404","SPARCL1",-3.19048139263158,-12.7519922305872,3.03878840973849e-37,3.70063652537954e-33
"7512","XPNPEP2",-5.84077689598416,-12.6736824375775,8.27372219143048e-37,1.0075738884724e-32
"163175","LGI4",-2.8625820065574,-12.6195520867123,1.64755691668116e-36,2.00639481313431e-32
"10365","KLF2",-3.2383354871896,-12.5802269187199,2.71249600301081e-36,3.30327763246656e-32
"55790","CSGALNACT1",-2.56794341053424,-12.5482245970824,4.06522643708304e-36,4.95063275507972e-32
"23017","FAIM2",-4.5225170192474,-12.2635299666435,1.42168991580747e-34,1.73133397947034e-30
"477","ATP1A2",-6.19693324856801,-12.1436166544247,6.20227129216565e-34,7.55312597959932e-30
"25890","ABI3BP",-3.95162785099854,-12.1288516395548,7.42838044903113e-34,9.04628171083011e-30
"2354","FOSB",-3.88729569370318,-12.0847430798423,1.27167045764759e-33,1.54864028332324e-29
"8013","NR4A3",-3.9415580997438,-12.073213115887,1.46307945402163e-33,1.78173815910754e-29
"7122","CLDN5",-3.18238844947505,-11.9832752778639,4.34799577822351e-33,5.29498925872059e-29
"6943","TCF21",-4.40117189114478,-11.9121201720512,1.023414418127e-32,1.24631407839506e-28
"4320","MMP11",4.78896292096877,11.8932901276157,1.28252832897626e-32,1.56186299902729e-28
"10231","RCAN2",-3.39708070342033,-11.8694262789374,1.70633762829019e-32,2.07797796373179e-28
"338328","GPIHBP1",-4.10793285199425,-11.7572489045611,6.48118241744071e-32,7.8927839479593e-28
"1843","DUSP1",-2.93316483358112,-11.723014904908,9.71518150032437e-32,1.1831148031095e-27
"51676","ASB2",-4.31999371999203,-11.7081763263994,1.15742325992385e-31,1.40951004593527e-27
"2294","FOXF1",-3.44229336984301,-11.6547725821223,2.16958884049674e-31,2.64212528995693e-27
"9452","ITM2A",-3.33291931317952,-11.6145710916156,3.47527941630225e-31,4.23219527317288e-27
"1264","CNN1",-5.334294925325,-11.6003630292609,4.10333892432156e-31,4.99704614203879e-27
"8406","SRPX",-3.32175220926813,-11.4947785738535,1.40139914349058e-30,1.70662387694283e-26
"7148","TNXB",-4.67335339191378,-11.4765458619134,1.73056877645146e-30,2.10748665596258e-26
"387763","C11orf96",-3.27674410720168,-11.4743364102114,1.77534412674856e-30,2.16201407755439e-26
"64651","CSRNP1",-2.90336484250669,-11.4674449976185,1.92252012442316e-30,2.34124500752252e-26
"57381","RHOJ",-2.34424413129328,-11.4600330848574,2.09434779886587e-30,2.55049674945885e-26
"5023","P2RX1",-5.14991648003804,-11.4048346122898,3.95528285025727e-30,4.81674345504331e-26
"114815","SORCS1",-5.64486322060212,-11.377044124387,5.44128555194037e-30,6.62639754515298e-26
"5354","PLP1",-5.67557536192095,-11.3540727068341,7.07869333129328e-30,8.62043273884895e-26
"3569","IL6",-3.86306678246217,-11.3007593486648,1.30088233791471e-29,1.58421451111253e-25
"388335","TMEM220",-2.95391881456342,-11.2953133596519,1.38409499730934e-29,1.68555088772331e-25
"7373","COL14A1",-3.173578658302,-11.28178667014,1.61433541399129e-29,1.96593766715859e-25
"2","A2M",-2.81395666405986,-11.2704335750117,1.83663243080449e-29,2.2366509742337e-25
"4239","MFAP4",-3.71761808559561,-11.267665313697,1.89528892650028e-29,2.30808285469205e-25
"23743","BHMT2",-4.26176926143359,-11.2430164525279,2.50668037205759e-29,3.05263535709173e-25
"1511","CTSG",-4.44953914800864,-11.217566811524,3.34343184717483e-29,4.07163130348951e-25
"8639","AOC3",-3.46867865933447,-11.2111845712903,3.59351567619471e-29,4.37618339046991e-25
"64321","SOX17",-3.28143812915409,-11.1958970073117,4.27057924758643e-29,5.20071140771075e-25
"5997","RGS2",-2.89525060762901,-11.1506616191289,7.10759004952485e-29,8.65562316231136e-25
"5837","PYGM",-4.61588910975593,-11.1351489941133,8.46034139806724e-29,1.03030037545663e-24
"11343","MGLL",-2.95259174518323,-11.0547708275942,2.07867022431032e-28,2.5314045991651e-24
"3131","HLF",-4.97236533685513,-11.0544998552907,2.08495651820538e-28,2.53906004787051e-24
"4969","OGN",-5.78216789928935,-11.0445534446616,2.32922855444383e-28,2.8365345336017e-24
"10351","ABCA8",-4.60452206171558,-11.027313256299,2.82169062386385e-28,3.4362548417414e-24
"316","AOX1",-4.36512549731275,-11.0226432257927,2.97201474805607e-28,3.61931956018269e-24
"171024","SYNPO2",-4.91506464895045,-10.9846478610233,4.53001741434764e-28,5.51665520719256e-24
"93649","MYOCD",-5.06933566521035,-10.9812781625795,4.70223054582013e-28,5.72637635869976e-24
"114905","C1QTNF7",-3.86212985739541,-10.9174003951788,9.51811461557701e-28,1.15911599788497e-23
"7704","ZBTB16",-4.65701549779128,-10.8996415613365,1.15712213346596e-27,1.40914333413485e-23
"80332","ADAM33",-3.69166677331128,-10.8732445050538,1.54603180900537e-27,1.88275753700674e-23
"5549","PRELP",-4.15627764778418,-10.8700716028755,1.60075171625535e-27,1.94939544005576e-23
"5239","PGM5",-5.60691897447163,-10.8349437852048,2.35109770251356e-27,2.86316678212102e-23
"2878","GPX3",-2.84325236954474,-10.830627699068,2.4645998778888e-27,3.00138973129297e-23
"23336","SYNM",-5.16918342930485,-10.8101559852275,3.08145650471756e-27,3.75259773144505e-23
"6332","SCN7A",-5.44267839836079,-10.8050692134111,3.25711282634168e-27,3.9665119999189e-23
"146713","RBFOX3",-6.10555538023102,-10.7969534503892,3.55814251284781e-27,4.33310595214607e-23
"221662","RBM24",-3.64999288477255,-10.7804485284845,4.25804408679913e-27,5.18544608890398e-23
"2273","FHL1",-4.78895664925051,-10.7803962488748,4.260464900867e-27,5.18839415627583e-23
"219348","PLAC9",-3.99415771155015,-10.7657245716509,4.99669412873351e-27,6.08497410997167e-23
"11076","TPPP",-3.70394629220063,-10.7638145316625,5.10138543180059e-27,6.21246717884676e-23
"60495","HPSE2",-4.75093659510181,-10.7548368278133,5.62334553163131e-27,6.84811018842061e-23
"6442","SGCA",-4.80288605461253,-10.7523783974717,5.77529070557912e-27,7.03314902125425e-23
"4929","NR4A2",-2.98029442446249,-10.7361478485586,6.88578678882753e-27,8.38551115143417e-23
"72","ACTG2",-5.13322977654673,-10.7271667545536,7.58873084598662e-27,9.2415564242425e-23
"730","C7",-6.15310379132957,-10.7121711031936,8.92439306917081e-27,1.08681258796362e-22
"111","ADCY5",-4.35437453828337,-10.7027468368802,9.88050576842002e-27,1.20324799247819e-22
"10894","LYVE1",-3.76594760550191,-10.6780464665058,1.28956778841608e-26,1.5704356527331e-22
"5742","PTGS1",-4.51827549831652,-10.6421391922279,1.897227378526e-26,2.31044350156897e-22
"1410","CRYAB",-3.78282536068279,-10.6270260579328,2.23113955164632e-26,2.71708174599489e-22
"92293","TMEM132C",-6.58565678009167,-10.579178691333,3.7220651290037e-26,4.53273091410071e-22
