,Unnamed: 0,SYMBOL,FC,DESeq2.STAT,PVAL,ADJ.PVAL
38,8406,SRPX,-3.32175220926813,-11.4947785738535,1.4013991434905799e-30,1.70662387694283e-26
39,7148,TNXB,-4.67335339191378,-11.4765458619134,1.7305687764514597e-30,2.10748665596258e-26
40,387763,C11orf96,-3.27674410720168,-11.4743364102114,1.7753441267485597e-30,2.16201407755439e-26
41,64651,CSRNP1,-2.90336484250669,-11.4674449976185,1.92252012442316e-30,2.34124500752252e-26
42,57381,RHOJ,-2.34424413129328,-11.4600330848574,2.09434779886587e-30,2.5504967494588498e-26
43,5023,P2RX1,-5.14991648003804,-11.4048346122898,3.95528285025727e-30,4.8167434550433097e-26
44,114815,SORCS1,-5.64486322060212,-11.377044124387,5.4412855519403696e-30,6.62639754515298e-26
45,5354,PLP1,-5.67557536192095,-11.3540727068341,7.07869333129328e-30,8.62043273884895e-26
46,3569,IL6,-3.86306678246217,-11.3007593486648,1.30088233791471e-29,1.5842145111125302e-25
47,388335,TMEM220,-2.95391881456342,-11.2953133596519,1.38409499730934e-29,1.68555088772331e-25
48,7373,COL14A1,-3.173578658302,-11.28178667014,1.61433541399129e-29,1.96593766715859e-25
49,2,A2M,-2.81395666405986,-11.2704335750117,1.83663243080449e-29,2.2366509742337e-25
50,4239,MFAP4,-3.71761808559561,-11.267665313697,1.8952889265002799e-29,2.3080828546920503e-25
51,23743,BHMT2,-4.26176926143359,-11.2430164525279,2.50668037205759e-29,3.05263535709173e-25
52,1511,CTSG,-4.44953914800864,-11.217566811524,3.34343184717483e-29,4.07163130348951e-25
53,8639,AOC3,-3.46867865933447,-11.2111845712903,3.59351567619471e-29,4.37618339046991e-25
54,64321,SOX17,-3.28143812915409,-11.1958970073117,4.27057924758643e-29,5.2007114077107505e-25
55,5997,RGS2,-2.89525060762901,-11.1506616191289,7.10759004952485e-29,8.65562316231136e-25
56,5837,PYGM,-4.61588910975593,-11.1351489941133,8.46034139806724e-29,1.03030037545663e-24
