,Unnamed: 0,SYMBOL,FC,DESeq2.STAT,PVAL,ADJ.PVAL
0,1300,COL10A1,7.51843861576236,47.9236174809961,0.0,0.0
1,4320,MMP11,6.0521636655643,40.473845420824,0.0,0.0
2,1301,COL11A1,6.02774113974556,32.9053351618886,1.84370729578645e-237,2.29984048076401e-233
3,114818,KLHL29,-3.03041911020972,-32.3310679149809,2.56058480230709e-229,3.19407348239786e-225
4,11096,ADAMTS5,-3.15591513629898,-30.7080966638412,4.4377101945894895e-207,5.53559969673093e-203
5,54437,SEMA5B,3.32619000778058,30.3093122298201,8.64216308121025e-202,1.07802342275017e-197
6,762,CA4,-7.19298519149731,-30.0037415492994,8.7703237690891e-198,1.09401018695617e-193
7,11131,CAPN11,-3.07903737620676,-29.9862220417674,1.48418934868746e-197,1.85137779355274e-193
8,4751,NEK2,4.48721280270672,29.8189427867376,2.2196776126016197e-195,2.76882585395926e-191
9,24137,KIF4A,3.97048445084449,29.6277260031569,6.5680103072265e-193,8.19293605723434e-189
10,3624,INHBA,3.70681759588991,29.3134988098444,6.97949433220138e-189,8.706221229988e-185
11,10253,SPRY2,-2.69122485451084,-28.7911817038884,2.7658602706025203e-182,3.4501341015495897e-178
12,3201,HOXA4,-2.71388284661238,-28.6999565409407,3.82000509008721e-181,4.76507434937479e-177
13,5348,FXYD1,-4.50216983675992,-28.604885061847,5.841600114576099e-180,7.28681198292223e-176
14,25891,PAMR1,-3.88866062474397,-28.4359510121873,7.27041294596695e-178,9.06911310879918e-174
15,2920,CXCL2,-4.67421693417915,-28.275725447065,6.87306183063467e-176,8.57345732753369e-172
16,100506755,MIR497HG,-2.36843878738681,-27.7971129437025,4.7006850466795696e-170,5.8636345272281e-166
17,25802,LMOD1,-2.86679992642105,-27.7893514671962,5.83400256375802e-170,7.27733479803176e-166
18,5187,PER1,-2.24991133646739,-27.7544120995204,1.54142151079557e-169,1.92276919256639e-165
19,22974,TPX2,3.38497932048038,27.6861727089227,1.0244861453359999e-168,1.2779440176921299e-164
20,146894,CD300LG,-6.22683234530501,-27.6571376092026,2.29030954673537e-168,2.8569321285976998e-164
21,1756,DMD,-3.36971654319794,-27.4880128253615,2.44205625377838e-166,3.04622097096315e-162
22,23336,SYNM,-4.10606568654693,-27.4351113943223,1.045957316953e-165,1.3047271571671702e-161
23,3131,HLF,-3.59961464626234,-27.3207259911081,2.40644049578812e-164,3.0017938744461e-160
24,94274,PPP1R14A,-3.38670446243905,-27.1292585391559,4.44905785849919e-162,5.549754772691889e-158
25,83540,NUF2,3.56987085161893,27.123482827678,5.20478706206304e-162,6.492451381217429e-158
26,64344,HIF3A,-4.72857806083256,-27.0320246699083,6.21424126891983e-161,7.7516445588506e-157
27,85480,TSLP,-4.10796421932598,-27.0050809092168,1.2881852986966699e-160,1.6068823415942298e-156
28,256691,MAMDC2,-3.21023253551353,-26.9890044364606,1.98942483832393e-160,2.48160854332527e-156
29,57447,NDRG2,-2.78341699821709,-26.8024247685202,3.0276508312350198e-158,3.77669164688256e-154
