"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0004714","GO:0004714","11/784","60/11936",0.0016168077516767,0.040662714954669,0.0354846753920623,"EPHA3/EPHA7/AXL/ROR1/FGFR1/KIT/EFEMP1/NTRK2/PDGFRA/EPHB2/ROR2",11
"GO:0019199","GO:0019199","11/784","60/11936",0.0016168077516767,0.040662714954669,0.0354846753920623,"TGFBR2/EPHA3/EPHA7/AXL/ROR1/FGFR1/KIT/NTRK2/PDGFRA/EPHB2/ROR2",11
"GO:0004114","GO:0004114","6/784","21/11936",0.00181995106847973,0.0435921613069193,0.0380410824840124,"PDE2A/PDE1A/PDE4B/PDE5A/PDE4D/PDE7B",6
"GO:0008237","GO:0008237","17/784","121/11936",0.00231601350750851,0.0512510162642551,0.0447246495389649,"MMP11/ADAM33/ADAMTS1/THSD4/ADAMTS8/ADAMTSL4/ADAMTSL3/ECE2/ADAMTS15/MMP13/ADAMTS5/ADAMTSL1/MMP1/ADAMTS9/MMP12/ADAMTS4/ADAMTS12",17
"GO:0017080","GO:0017080","8/784","37/11936",0.00234348583315679,0.0512510162642551,0.0447246495389649,"FXYD1/FXYD6/FGF13/SCN4B/SCN1B/ATP2B4/SNTA1/FGF11",8
"GO:0004175","GO:0004175","34/784","315/11936",0.0028856538488253,0.0585171099220979,0.0510654699958456,"F10/MMP11/CTSG/ADAM33/PCSK2/ADAMTS1/TPSB2/TPSAB1/SFRP1/MASP1/THSD4/ADAMTS8/ADAMTSL4/TPSD1/ADAMTSL3/USP2/USP18/ECE2/ADAMTS15/MMP13/C1R/ESPL1/PCSK7/ADAMTS5/HGF/CTSF/ADAMTSL1/MMP1/C1S/ADAMTS9/MMP12/ADAMTS4/F12/ADAMTS12",34
"GO:0003688","GO:0003688","6/784","23/11936",0.00302474126833905,0.0585171099220979,0.0510654699958456,"ORC1/MCM2/CDC6/CDC45/MCM10/MCM4",6
"GO:0004112","GO:0004112","6/784","23/11936",0.00302474126833905,0.0585171099220979,0.0510654699958456,"PDE2A/PDE1A/PDE4B/PDE5A/PDE4D/PDE7B",6
"GO:0070851","GO:0070851","15/784","105/11936",0.00347586608162364,0.0647540977428404,0.0565082322041738,"IL6/FGF2/FGF7/TSLP/CSF3/IL6ST/PDGFD/HBEGF/EFEMP1/ITGA5/ITGB3/KL/IL6R/PDGFRA/AREG",15
"GO:0005217","GO:0005217","4/784","11/11936",0.00419841990698061,0.0754216147575446,0.0658173346319893,"ITPR1/RYR3/TRPM2/RYR2",4
"GO:0070888","GO:0070888","8/784","41/11936",0.00459821771252486,0.0797552934275863,0.0695991573910296,"PER1/TCF21/HAND2/ATOH8/ZEB1/MITF/MYC/TAL1",8
"GO:0019210","GO:0019210","7/784","33/11936",0.0048709064489551,0.0816688647941472,0.0712690522531326,"PPP1R1B/SOCS3/CDKN1C/PARVA/GMFG/RHOH/SNCA",7
"GO:0098632","GO:0098632","8/784","42/11936",0.00536068454016421,0.0869814297968579,0.0759051087690484,"NEXN/JAM3/PALLD/CNTN4/CD200/STXBP6/IGSF9/EPCAM",8
"GO:0001664","GO:0001664","18/784","143/11936",0.00580676241098724,0.0910524598578876,0.0794577289122928,"AGTR1/SFRP1/GNAL/CXCL12/REEP1/FLNA/S1PR1/GNAO1/FZD7/WNT2B/GNA14/GNAZ/WNT2/CCL21/REEP2/WNT9A/TUB/PTCH2",18
"GO:0004115","GO:0004115","4/784","12/11936",0.00597362062685942,0.0910524598578876,0.0794577289122928,"PDE2A/PDE4B/PDE4D/PDE7B",4
"GO:0099604","GO:0099604","5/784","19/11936",0.00647440298569805,0.0957830794648859,0.083585945666752,"ITPR1/RYR3/GRIN2D/TRPM2/RYR2",5
"GO:0016538","GO:0016538","8/784","44/11936",0.00717086140146438,0.103055522426759,0.0899323068995683,"CCNE1/CCNE2/CCNB2/CCNB1/CKS2/CCND2/CKS1B/CCNA2",8
"GO:0030165","GO:0030165","10/784","63/11936",0.00755356045486492,0.105540025244363,0.0921004301075635,"TGFBR3/KIF14/SLC26A6/TMEM88/CIT/SDC2/FZD7/USHBP1/FZD2/ATP2B4",10
"GO:0005161","GO:0005161","4/784","13/11936",0.00818572359256776,0.111281593704367,0.0971108602589119,"PDGFD/ITGA5/ITGB3/PDGFRA",4
"GO:0004712","GO:0004712","6/784","28/11936",0.00852884476798543,0.112894971534123,0.0985187885941808,"AURKA/LRRK2/TTK/RPS6KA2/AURKB/PRKAA2",6
"GO:0015085","GO:0015085","9/784","55/11936",0.0090375843083114,0.116561664284119,0.101718560231197,"SLC24A3/ITPR1/ANXA6/TRPM2/CACNB2/ATP2A3/TRPC1/ATP2B4/RYR2",9
"GO:0001222","GO:0001222","6/784","29/11936",0.0101700608002374,0.127888514562985,0.111603035623657,"PER1/ZBTB16/PER2/PER3/EZH2/ESR1",6
"GO:0004713","GO:0004713","14/784","108/11936",0.0109492099678829,0.134328112532807,0.117222607358335,"BMX/EPHA3/TTK/MELK/EPHA7/AXL/ROR1/PKDCC/FGFR1/KIT/NTRK2/PDGFRA/EPHB2/ROR2",14
"GO:0017111","GO:0017111","28/784","278/11936",0.0157435704788801,0.188547998830397,0.164538067410852,"RHOJ/TPPP/GNG11/GEM/KIF18B/KIF14/LRRK2/GNAL/CLU/DNA2/KIF15/KIF26A/RASL12/RHOB/RERG/RNF112/RAC3/GNAO1/RAP1GAP/GNA14/GNAZ/RAB23/DIRAS3/DIRAS1/GBP6/RRAS/RND3/RHOH",28
"GO:0005523","GO:0005523","4/784","16/11936",0.0178046534856875,0.200457174894166,0.174930714514737,"LMOD1/TMOD1/TNNT2/CALD1",4
"GO:0098631","GO:0098631","5/784","24/11936",0.0180336741732278,0.200457174894166,0.174930714514737,"NEXN/JAM3/PALLD/CNTN4/IGSF9",5
"GO:0140297","GO:0140297","22/784","208/11936",0.0182154962137925,0.200457174894166,0.174930714514737,"TCF21/MYOCD/FOS/LDB2/MEF2C/KLF4/SRF/CREM/HAND2/BCL2/ID2/HDAC4/EGR2/NLRP3/PITX1/RUNX1T1/PRDM16/MYC/TLE2/ZFPM2/TAL1/PITX2",22
"GO:0051117","GO:0051117","10/784","73/11936",0.0204339299284446,0.200457174894166,0.174930714514737,"ANK2/PGR/ATP1B2/PLN/CAV1/PDE4D/SNX10/TRPC1/ESR1/SNTA1",10
"GO:0004860","GO:0004860","7/784","43/11936",0.0208321163480462,0.200457174894166,0.174930714514737,"CIT/PPP1R1B/SOCS3/CDKN1C/PARVA/GMFG/SNCA",7
"GO:0004629","GO:0004629","5/784","25/11936",0.0213564766035291,0.200457174894166,0.174930714514737,"BDKRB2/PLCD4/PLCB4/PLCL1/EDNRA",5
"GO:0045499","GO:0045499","5/784","25/11936",0.0213564766035291,0.200457174894166,0.174930714514737,"SEMA5B/SEMA3G/EPHA7/SEMA3E/SEMA3B",5
"GO:0001221","GO:0001221","8/784","53/11936",0.021384371002634,0.200457174894166,0.174930714514737,"PER1/ZBTB16/PGR/PER2/CIT/PER3/EZH2/ESR1",8
"GO:0005003","GO:0005003","4/784","17/11936",0.0221002326687854,0.200457174894166,0.174930714514737,"EPHA3/EPHA7/EPHB2/EFNA3",4
"GO:0005005","GO:0005005","4/784","17/11936",0.0221002326687854,0.200457174894166,0.174930714514737,"EPHA3/EPHA7/EPHB2/EFNA3",4
"GO:0015278","GO:0015278","4/784","17/11936",0.0221002326687854,0.200457174894166,0.174930714514737,"ITPR1/RYR3/TRPM2/RYR2",4
"GO:0004955","GO:0004955","3/784","10/11936",0.0239113926315108,0.200457174894166,0.174930714514737,"PTGFR/PTGER3/PTGER4",3
"GO:0005347","GO:0005347","3/784","10/11936",0.0239113926315108,0.200457174894166,0.174930714514737,"SLC25A25/SLC25A23/SLC25A4",3
"GO:0008330","GO:0008330","3/784","10/11936",0.0239113926315108,0.200457174894166,0.174930714514737,"DUSP1/DUSP8/DUSP5",3
"GO:0008331","GO:0008331","3/784","10/11936",0.0239113926315108,0.200457174894166,0.174930714514737,"CACNB2/CACNB4/CACNA1C",3
"GO:0008603","GO:0008603","3/784","10/11936",0.0239113926315108,0.200457174894166,0.174930714514737,"PRKAR2B/PKIG/PRKAG2",3
"GO:0017017","GO:0017017","3/784","10/11936",0.0239113926315108,0.200457174894166,0.174930714514737,"DUSP1/DUSP8/DUSP5",3
"GO:0035497","GO:0035497","3/784","10/11936",0.0239113926315108,0.200457174894166,0.174930714514737,"NR4A3/CREB5/CREB3L1",3
